date,/g/12nwxv98s_unscaled,/g/12nwxv98s_monthly,isPartial,scale,/g/12nwxv98s
2022-04-09,0,0.0,,0.0,0.0
2022-04-10,0,25.0,False,0.25,0.0
2022-04-11,0,25.0,,0.25,0.0
2022-04-12,35,25.0,,0.25,8.75
2022-04-13,0,25.0,,0.25,0.0
2022-04-14,28,25.0,,0.25,7.0
2022-04-15,0,25.0,,0.25,0.0
2022-04-16,0,25.0,,0.25,0.0
2022-04-17,34,20.0,False,0.2,6.800000000000001
2022-04-18,0,20.0,,0.2,0.0
2022-04-19,0,20.0,,0.2,0.0
2022-04-20,0,20.0,,0.2,0.0
2022-04-21,0,20.0,,0.2,0.0
2022-04-22,0,20.0,,0.2,0.0
2022-04-23,0,20.0,,0.2,0.0
2022-04-24,0,0.0,False,0.0,0.0
2022-04-25,0,0.0,,0.0,0.0
2022-04-26,63,0.0,,0.0,0.0
2022-04-27,0,0.0,,0.0,0.0
2022-04-28,0,0.0,,0.0,0.0
2022-04-29,100,0.0,,0.0,0.0
2022-04-30,0,0.0,,0.0,0.0
2022-05-01,51,56.0,False,0.56,28.560000000000002
2022-05-02,0,56.0,,0.56,0.0
2022-05-03,0,56.0,,0.56,0.0
2022-05-04,0,56.0,,0.56,0.0
2022-05-05,0,56.0,,0.56,0.0
2022-05-06,0,56.0,,0.56,0.0
2022-05-07,0,56.0,,0.56,0.0
2022-05-08,26,21.0,False,0.21,5.46
2022-05-09,100,21.0,,0.21,21.0
2022-05-10,0,21.0,,0.21,0.0
2022-05-11,43,21.0,,0.21,9.03
2022-05-12,0,21.0,,0.21,0.0
2022-05-13,0,21.0,,0.21,0.0
2022-05-14,0,21.0,,0.21,0.0
2022-05-15,0,26.0,False,0.26,0.0
2022-05-16,0,26.0,,0.26,0.0
2022-05-17,0,26.0,,0.26,0.0
2022-05-18,0,26.0,,0.26,0.0
2022-05-19,0,26.0,,0.26,0.0
2022-05-20,0,26.0,,0.26,0.0
2022-05-21,72,26.0,,0.26,18.72
2022-05-22,70,67.0,False,0.67,46.900000000000006
2022-05-23,0,67.0,,0.67,0.0
2022-05-24,37,67.0,,0.67,24.790000000000003
2022-05-25,50,67.0,,0.67,33.5
2022-05-26,0,67.0,,0.67,0.0
2022-05-27,0,67.0,,0.67,0.0
2022-05-28,0,67.0,,0.67,0.0
2022-05-29,0,39.0,False,0.39,0.0
2022-05-30,0,39.0,,0.39,0.0
2022-05-31,0,39.0,,0.39,0.0
2022-06-01,39,39.0,,0.39,15.21
2022-06-02,0,39.0,,0.39,0.0
2022-06-03,0,39.0,,0.39,0.0
2022-06-04,0,39.0,,0.39,0.0
2022-06-05,0,34.0,False,0.34,0.0
2022-06-06,0,34.0,,0.34,0.0
2022-06-07,26,34.0,,0.34,8.84
2022-06-08,0,34.0,,0.34,0.0
2022-06-09,0,34.0,,0.34,0.0
2022-06-10,26,34.0,,0.34,8.84
2022-06-11,47,34.0,,0.34,15.98
2022-06-12,0,23.0,False,0.23,0.0
2022-06-13,0,23.0,,0.23,0.0
2022-06-14,33,23.0,,0.23,7.590000000000001
2022-06-15,0,23.0,,0.23,0.0
2022-06-16,29,23.0,,0.23,6.67
2022-06-17,0,23.0,,0.23,0.0
2022-06-18,0,23.0,,0.23,0.0
2022-06-19,0,46.0,False,0.46,0.0
2022-06-20,0,46.0,,0.46,0.0
2022-06-21,0,46.0,,0.46,0.0
2022-06-22,0,46.0,,0.46,0.0
2022-06-23,0,46.0,,0.46,0.0
2022-06-24,0,46.0,,0.46,0.0
2022-06-25,0,46.0,,0.46,0.0
2022-06-26,100,56.0,False,0.56,56.00000000000001
2022-06-27,0,56.0,,0.56,0.0
2022-06-28,0,56.0,,0.56,0.0
2022-06-29,0,56.0,,0.56,0.0
2022-06-30,0,56.0,,0.56,0.0
2022-07-01,0,56.0,,0.56,0.0
2022-07-02,0,56.0,,0.56,0.0
2022-07-03,25,94.0,False,0.94,23.5
2022-07-04,100,94.0,,0.94,94.0
2022-07-05,0,94.0,,0.94,0.0
2022-07-06,0,94.0,,0.94,0.0
2022-07-07,0,94.0,,0.94,0.0
2022-07-08,0,94.0,,0.94,0.0
2022-07-09,16,94.0,,0.94,15.04
2022-07-10,0,0.0,False,0.0,0.0
2022-07-11,0,0.0,,0.0,0.0
2022-07-12,0,0.0,,0.0,0.0
2022-07-13,0,0.0,,0.0,0.0
2022-07-14,30,0.0,,0.0,0.0
2022-07-15,0,0.0,,0.0,0.0
2022-07-16,38,0.0,,0.0,0.0
2022-07-17,16,0.0,False,0.0,0.0
2022-07-18,0,0.0,,0.0,0.0
2022-07-19,21,0.0,,0.0,0.0
2022-07-20,0,0.0,,0.0,0.0
2022-07-21,19,0.0,,0.0,0.0
2022-07-22,29,0.0,,0.0,0.0
2022-07-23,0,0.0,,0.0,0.0
2022-07-24,0,50.0,False,0.5,0.0
2022-07-25,0,50.0,,0.5,0.0
2022-07-26,0,50.0,,0.5,0.0
2022-07-27,0,50.0,,0.5,0.0
2022-07-28,0,50.0,,0.5,0.0
2022-07-29,0,50.0,,0.5,0.0
2022-07-30,0,50.0,,0.5,0.0
2022-07-31,21,41.0,False,0.41,8.61
2022-08-01,0,41.0,,0.41,0.0
2022-08-02,0,41.0,,0.41,0.0
2022-08-03,0,41.0,,0.41,0.0
2022-08-04,82,41.0,,0.41,33.62
2022-08-05,0,41.0,,0.41,0.0
2022-08-06,74,41.0,,0.41,30.34
2022-08-07,0,0.0,False,0.0,0.0
2022-08-08,0,0.0,,0.0,0.0
2022-08-09,0,0.0,,0.0,0.0
2022-08-10,0,0.0,,0.0,0.0
2022-08-11,0,0.0,,0.0,0.0
2022-08-12,0,0.0,,0.0,0.0
2022-08-13,0,0.0,,0.0,0.0
2022-08-14,0,67.0,False,0.67,0.0
2022-08-15,0,67.0,,0.67,0.0
2022-08-16,54,67.0,,0.67,36.18
2022-08-17,0,67.0,,0.67,0.0
2022-08-18,88,67.0,,0.67,58.96
2022-08-19,45,67.0,,0.67,30.150000000000002
2022-08-20,52,67.0,,0.67,34.84
2022-08-21,52,71.0,False,0.71,36.92
2022-08-22,0,71.0,,0.71,0.0
2022-08-23,100,71.0,,0.71,71.0
2022-08-24,54,71.0,,0.71,38.339999999999996
2022-08-25,0,71.0,,0.71,0.0
2022-08-26,0,71.0,,0.71,0.0
2022-08-27,0,71.0,,0.71,0.0
2022-08-28,0,0.0,False,0.0,0.0
2022-08-29,0,0.0,,0.0,0.0
2022-08-30,0,0.0,,0.0,0.0
2022-08-31,52,0.0,,0.0,0.0
2022-09-01,0,0.0,,0.0,0.0
2022-09-02,0,0.0,,0.0,0.0
2022-09-03,69,0.0,,0.0,0.0
2022-09-04,0,0.0,False,0.0,0.0
2022-09-05,0,0.0,,0.0,0.0
2022-09-06,100,0.0,,0.0,0.0
2022-09-07,0,0.0,,0.0,0.0
2022-09-08,0,0.0,,0.0,0.0
2022-09-09,0,0.0,,0.0,0.0
2022-09-10,0,0.0,,0.0,0.0
2022-09-11,0,31.0,False,0.31,0.0
2022-09-12,0,31.0,,0.31,0.0
2022-09-13,0,31.0,,0.31,0.0
2022-09-14,0,31.0,,0.31,0.0
2022-09-15,56,31.0,,0.31,17.36
2022-09-16,0,31.0,,0.31,0.0
2022-09-17,0,31.0,,0.31,0.0
2022-09-18,0,0.0,False,0.0,0.0
2022-09-19,0,0.0,,0.0,0.0
2022-09-20,0,0.0,,0.0,0.0
2022-09-21,70,0.0,,0.0,0.0
2022-09-22,0,0.0,,0.0,0.0
2022-09-23,0,0.0,,0.0,0.0
2022-09-24,96,0.0,,0.0,0.0
2022-09-25,0,0.0,False,0.0,0.0
2022-09-26,57,0.0,,0.0,0.0
2022-09-27,41,0.0,,0.0,0.0
2022-09-28,0,0.0,,0.0,0.0
2022-09-29,0,0.0,,0.0,0.0
2022-09-30,0,0.0,,0.0,0.0
2022-10-01,0,0.0,,0.0,0.0
2022-10-02,81,32.0,False,0.32,25.92
2022-10-03,0,32.0,,0.32,0.0
2022-10-04,0,32.0,,0.32,0.0
2022-10-05,0,32.0,,0.32,0.0
2022-10-06,0,32.0,,0.32,0.0
2022-10-07,0,32.0,,0.32,0.0
2022-10-08,0,32.0,,0.32,0.0
2022-10-09,0,19.0,False,0.19,0.0
2022-10-10,69,19.0,,0.19,13.11
2022-10-11,0,19.0,,0.19,0.0
2022-10-12,84,19.0,,0.19,15.96
2022-10-13,0,19.0,,0.19,0.0
2022-10-14,100,19.0,,0.19,19.0
2022-10-15,0,19.0,,0.19,0.0
2022-10-16,0,22.0,False,0.22,0.0
2022-10-17,0,22.0,,0.22,0.0
2022-10-18,0,22.0,,0.22,0.0
2022-10-19,0,22.0,,0.22,0.0
2022-10-20,0,22.0,,0.22,0.0
2022-10-21,0,22.0,,0.22,0.0
2022-10-22,0,22.0,,0.22,0.0
2022-10-23,0,16.0,False,0.16,0.0
2022-10-24,0,16.0,,0.16,0.0
2022-10-25,0,16.0,,0.16,0.0
2022-10-26,0,16.0,,0.16,0.0
2022-10-27,0,16.0,,0.16,0.0
2022-10-28,0,16.0,,0.16,0.0
2022-10-29,88,16.0,,0.16,14.08
2022-10-30,48,26.0,False,0.26,12.48
2022-10-31,0,26.0,,0.26,0.0
2022-11-01,0,26.0,,0.26,0.0
2022-11-02,0,26.0,,0.26,0.0
2022-11-03,43,26.0,,0.26,11.18
2022-11-04,59,26.0,,0.26,15.34
2022-11-05,0,26.0,,0.26,0.0
2022-11-06,84,42.0,False,0.42,35.28
2022-11-07,57,42.0,,0.42,23.939999999999998
2022-11-08,0,42.0,,0.42,0.0
2022-11-09,0,42.0,,0.42,0.0
2022-11-10,0,42.0,,0.42,0.0
2022-11-11,0,42.0,,0.42,0.0
2022-11-12,0,42.0,,0.42,0.0
2022-11-13,0,19.0,False,0.19,0.0
2022-11-14,0,19.0,,0.19,0.0
2022-11-15,0,19.0,,0.19,0.0
2022-11-16,0,19.0,,0.19,0.0
2022-11-17,0,19.0,,0.19,0.0
2022-11-18,0,19.0,,0.19,0.0
2022-11-19,64,19.0,,0.19,12.16
2022-11-20,0,53.0,False,0.53,0.0
2022-11-21,0,53.0,,0.53,0.0
2022-11-22,0,53.0,,0.53,0.0
2022-11-23,100,53.0,,0.53,53.0
2022-11-24,0,53.0,,0.53,0.0
2022-11-25,0,53.0,,0.53,0.0
2022-11-26,0,53.0,,0.53,0.0
2022-11-27,96,0.0,False,0.0,0.0
2022-11-28,47,0.0,,0.0,0.0
2022-11-29,0,0.0,,0.0,0.0
2022-11-30,0,0.0,,0.0,0.0
2022-12-01,0,0.0,,0.0,0.0
2022-12-02,0,0.0,,0.0,0.0
2022-12-03,0,0.0,,0.0,0.0
2022-12-04,100,19.0,False,0.19,19.0
2022-12-05,0,19.0,,0.19,0.0
2022-12-06,0,19.0,,0.19,0.0
2022-12-07,0,19.0,,0.19,0.0
2022-12-08,0,19.0,,0.19,0.0
2022-12-09,0,19.0,,0.19,0.0
2022-12-10,0,19.0,,0.19,0.0
2022-12-11,0,17.0,False,0.17,0.0
2022-12-12,0,17.0,,0.17,0.0
2022-12-13,0,17.0,,0.17,0.0
2022-12-14,0,17.0,,0.17,0.0
2022-12-15,0,17.0,,0.17,0.0
2022-12-16,37,17.0,,0.17,6.29
2022-12-17,0,17.0,,0.17,0.0
2022-12-18,0,44.0,False,0.44,0.0
2022-12-19,65,44.0,,0.44,28.6
2022-12-20,65,44.0,,0.44,28.6
2022-12-21,0,44.0,,0.44,0.0
2022-12-22,0,44.0,,0.44,0.0
2022-12-23,0,44.0,,0.44,0.0
2022-12-24,0,44.0,,0.44,0.0
2022-12-25,58,49.0,False,0.49,28.419999999999998
2022-12-26,0,49.0,,0.49,0.0
2022-12-27,0,49.0,,0.49,0.0
2022-12-28,0,49.0,,0.49,0.0
2022-12-29,0,49.0,,0.49,0.0
2022-12-30,0,49.0,,0.49,0.0
2022-12-31,0,49.0,,0.49,0.0
2023-01-01,30,18.0,False,0.18,5.3999999999999995
2023-01-02,0,18.0,,0.18,0.0
2023-01-03,41,18.0,,0.18,7.38
2023-01-04,40,18.0,,0.18,7.199999999999999
2023-01-05,0,18.0,,0.18,0.0
2023-01-06,0,18.0,,0.18,0.0
2023-01-07,0,18.0,,0.18,0.0
2023-01-08,0,0.0,False,0.0,0.0
2023-01-09,0,0.0,,0.0,0.0
2023-01-10,0,0.0,,0.0,0.0
2023-01-11,0,0.0,,0.0,0.0
2023-01-12,0,0.0,,0.0,0.0
2023-01-13,0,0.0,,0.0,0.0
2023-01-14,0,0.0,,0.0,0.0
2023-01-15,0,37.0,False,0.37,0.0
2023-01-16,0,37.0,,0.37,0.0
2023-01-17,44,37.0,,0.37,16.28
2023-01-18,100,37.0,,0.37,37.0
2023-01-19,0,37.0,,0.37,0.0
2023-01-20,0,37.0,,0.37,0.0
2023-01-21,54,37.0,,0.37,19.98
2023-01-22,0,53.0,False,0.53,0.0
2023-01-23,68,53.0,,0.53,36.04
2023-01-24,29,53.0,,0.53,15.370000000000001
2023-01-25,0,53.0,,0.53,0.0
2023-01-26,0,53.0,,0.53,0.0
2023-01-27,28,53.0,,0.53,14.84
2023-01-28,0,53.0,,0.53,0.0
2023-01-29,0,25.0,False,0.25,0.0
2023-01-30,0,25.0,,0.25,0.0
2023-01-31,39,25.0,,0.25,9.75
2023-02-01,25,25.0,,0.25,6.25
2023-02-02,73,25.0,,0.25,18.25
2023-02-03,56,25.0,,0.25,14.0
2023-02-04,31,25.0,,0.25,7.75
2023-02-05,0,55.0,False,0.55,0.0
2023-02-06,0,55.0,,0.55,0.0
2023-02-07,0,55.0,,0.55,0.0
2023-02-08,0,55.0,,0.55,0.0
2023-02-09,100,55.0,,0.55,55.00000000000001
2023-02-10,0,55.0,,0.55,0.0
2023-02-11,30,55.0,,0.55,16.5
2023-02-12,32,38.0,False,0.38,12.16
2023-02-13,0,38.0,,0.38,0.0
2023-02-14,0,38.0,,0.38,0.0
2023-02-15,0,38.0,,0.38,0.0
2023-02-16,0,38.0,,0.38,0.0
2023-02-17,60,38.0,,0.38,22.8
2023-02-18,33,38.0,,0.38,12.540000000000001
2023-02-19,99,18.0,False,0.18,17.82
2023-02-20,0,18.0,,0.18,0.0
2023-02-21,0,18.0,,0.18,0.0
2023-02-22,36,18.0,,0.18,6.4799999999999995
2023-02-23,0,18.0,,0.18,0.0
2023-02-24,0,18.0,,0.18,0.0
2023-02-25,0,18.0,,0.18,0.0
2023-02-26,0,39.0,False,0.39,0.0
2023-02-27,0,39.0,,0.39,0.0
2023-02-28,0,39.0,,0.39,0.0
2023-03-01,67,39.0,,0.39,26.130000000000003
2023-03-02,27,39.0,,0.39,10.530000000000001
2023-03-03,0,39.0,,0.39,0.0
2023-03-04,0,39.0,,0.39,0.0
2023-03-05,0,24.0,False,0.24,0.0
2023-03-06,0,24.0,,0.24,0.0
2023-03-07,0,24.0,,0.24,0.0
2023-03-08,0,24.0,,0.24,0.0
2023-03-09,0,24.0,,0.24,0.0
2023-03-10,0,24.0,,0.24,0.0
2023-03-11,0,24.0,,0.24,0.0
2023-03-12,100,0.0,False,0.0,0.0
2023-03-13,0,0.0,,0.0,0.0
2023-03-14,0,0.0,,0.0,0.0
2023-03-15,0,0.0,,0.0,0.0
2023-03-16,0,0.0,,0.0,0.0
2023-03-17,0,0.0,,0.0,0.0
2023-03-18,0,0.0,,0.0,0.0
2023-03-19,0,0.0,False,0.0,0.0
2023-03-20,0,0.0,,0.0,0.0
2023-03-21,0,0.0,,0.0,0.0
2023-03-22,0,0.0,,0.0,0.0
2023-03-23,0,0.0,,0.0,0.0
2023-03-24,0,0.0,,0.0,0.0
2023-03-25,61,0.0,,0.0,0.0
2023-03-26,0,31.0,False,0.31,0.0
2023-03-27,0,31.0,,0.31,0.0
2023-03-28,0,31.0,,0.31,0.0
2023-03-29,0,31.0,,0.31,0.0
2023-03-30,48,31.0,,0.31,14.879999999999999
2023-03-31,0,31.0,,0.31,0.0
2023-04-01,0,31.0,,0.31,0.0
2023-04-02,71,37.0,False,0.37,26.27
2023-04-03,0,37.0,,0.37,0.0
2023-04-04,0,37.0,,0.37,0.0
2023-04-05,0,37.0,,0.37,0.0
2023-04-06,0,37.0,,0.37,0.0
2023-04-07,0,37.0,,0.37,0.0
2023-04-08,0,37.0,,0.37,0.0
2023-04-09,0,68.0,False,0.68,0.0
2023-04-10,0,68.0,,0.68,0.0
2023-04-11,59,68.0,,0.68,40.120000000000005
2023-04-12,0,68.0,,0.68,0.0
2023-04-13,0,68.0,,0.68,0.0
2023-04-14,0,68.0,,0.68,0.0
2023-04-15,0,68.0,,0.68,0.0
2023-04-16,0,48.0,False,0.48,0.0
2023-04-17,0,48.0,,0.48,0.0
2023-04-18,100,48.0,,0.48,48.0
2023-04-19,0,48.0,,0.48,0.0
2023-04-20,0,48.0,,0.48,0.0
2023-04-21,0,48.0,,0.48,0.0
2023-04-22,0,48.0,,0.48,0.0
2023-04-23,92,27.0,False,0.27,24.840000000000003
2023-04-24,0,27.0,,0.27,0.0
2023-04-25,0,27.0,,0.27,0.0
2023-04-26,78,27.0,,0.27,21.060000000000002
2023-04-27,0,27.0,,0.27,0.0
2023-04-28,0,27.0,,0.27,0.0
2023-04-29,0,27.0,,0.27,0.0
2023-04-30,0,52.0,False,0.52,0.0
2023-05-01,0,52.0,,0.52,0.0
2023-05-02,40,52.0,,0.52,20.8
2023-05-03,0,52.0,,0.52,0.0
2023-05-04,0,52.0,,0.52,0.0
2023-05-05,0,52.0,,0.52,0.0
2023-05-06,0,52.0,,0.52,0.0
2023-05-07,0,20.0,False,0.2,0.0
2023-05-08,0,20.0,,0.2,0.0
2023-05-09,0,20.0,,0.2,0.0
2023-05-10,0,20.0,,0.2,0.0
2023-05-11,0,20.0,,0.2,0.0
2023-05-12,0,20.0,,0.2,0.0
2023-05-13,0,20.0,,0.2,0.0
2023-05-14,0,37.0,False,0.37,0.0
2023-05-15,0,37.0,,0.37,0.0
2023-05-16,0,37.0,,0.37,0.0
2023-05-17,26,37.0,,0.37,9.62
2023-05-18,0,37.0,,0.37,0.0
2023-05-19,0,37.0,,0.37,0.0
2023-05-20,74,37.0,,0.37,27.38
2023-05-21,0,38.0,False,0.38,0.0
2023-05-22,51,38.0,,0.38,19.38
2023-05-23,0,38.0,,0.38,0.0
2023-05-24,28,38.0,,0.38,10.64
2023-05-25,0,38.0,,0.38,0.0
2023-05-26,0,38.0,,0.38,0.0
2023-05-27,100,38.0,,0.38,38.0
2023-05-28,0,100.0,False,1.0,0.0
2023-05-29,0,100.0,,1.0,0.0
2023-05-30,0,100.0,,1.0,0.0
2023-05-31,0,100.0,,1.0,0.0
2023-06-01,100,100.0,,1.0,100.0
2023-06-02,0,100.0,,1.0,0.0
2023-06-03,36,100.0,,1.0,36.0
2023-06-04,73,24.0,False,0.24,17.52
2023-06-05,0,24.0,,0.24,0.0
2023-06-06,41,24.0,,0.24,9.84
2023-06-07,0,24.0,,0.24,0.0
2023-06-08,0,24.0,,0.24,0.0
2023-06-09,0,24.0,,0.24,0.0
2023-06-10,0,24.0,,0.24,0.0
2023-06-11,0,79.0,False,0.79,0.0
2023-06-12,0,79.0,,0.79,0.0
2023-06-13,0,79.0,,0.79,0.0
2023-06-14,65,79.0,,0.79,51.35
2023-06-15,41,79.0,,0.79,32.39
2023-06-16,0,79.0,,0.79,0.0
2023-06-17,0,79.0,,0.79,0.0
2023-06-18,0,45.0,False,0.45,0.0
2023-06-19,35,45.0,,0.45,15.75
2023-06-20,0,45.0,,0.45,0.0
2023-06-21,78,45.0,,0.45,35.1
2023-06-22,0,45.0,,0.45,0.0
2023-06-23,28,45.0,,0.45,12.6
2023-06-24,28,45.0,,0.45,12.6
2023-06-25,0,0.0,False,0.0,0.0
2023-06-26,0,0.0,,0.0,0.0
2023-06-27,0,0.0,,0.0,0.0
2023-06-28,0,0.0,,0.0,0.0
2023-06-29,38,0.0,,0.0,0.0
2023-06-30,38,0.0,,0.0,0.0
2023-07-01,26,0.0,,0.0,0.0
2023-07-02,0,41.0,False,0.41,0.0
2023-07-03,0,41.0,,0.41,0.0
2023-07-04,20,41.0,,0.41,8.2
2023-07-05,0,41.0,,0.41,0.0
2023-07-06,0,41.0,,0.41,0.0
2023-07-07,0,41.0,,0.41,0.0
2023-07-08,0,41.0,,0.41,0.0
2023-07-09,0,48.0,False,0.48,0.0
2023-07-10,38,48.0,,0.48,18.24
2023-07-11,0,48.0,,0.48,0.0
2023-07-12,0,48.0,,0.48,0.0
2023-07-13,0,48.0,,0.48,0.0
2023-07-14,0,48.0,,0.48,0.0
2023-07-15,0,48.0,,0.48,0.0
2023-07-16,0,23.0,False,0.23,0.0
2023-07-17,0,23.0,,0.23,0.0
2023-07-18,0,23.0,,0.23,0.0
2023-07-19,0,23.0,,0.23,0.0
2023-07-20,0,23.0,,0.23,0.0
2023-07-21,0,23.0,,0.23,0.0
2023-07-22,28,23.0,,0.23,6.44
2023-07-23,0,26.0,False,0.26,0.0
2023-07-24,100,26.0,,0.26,26.0
2023-07-25,0,26.0,,0.26,0.0
2023-07-26,0,26.0,,0.26,0.0
2023-07-27,0,26.0,,0.26,0.0
2023-07-28,0,26.0,,0.26,0.0
2023-07-29,0,26.0,,0.26,0.0
2023-07-30,0,97.0,False,0.97,0.0
2023-07-31,0,97.0,,0.97,0.0
2023-08-01,67,97.0,,0.97,64.99
2023-08-02,0,97.0,,0.97,0.0
2023-08-03,0,97.0,,0.97,0.0
2023-08-04,0,97.0,,0.97,0.0
2023-08-05,0,97.0,,0.97,0.0
2023-08-06,34,0.0,False,0.0,0.0
2023-08-07,44,0.0,,0.0,0.0
2023-08-08,0,0.0,,0.0,0.0
2023-08-09,0,0.0,,0.0,0.0
2023-08-10,0,0.0,,0.0,0.0
2023-08-11,32,0.0,,0.0,0.0
2023-08-12,0,0.0,,0.0,0.0
2023-08-13,0,48.0,False,0.48,0.0
2023-08-14,0,48.0,,0.48,0.0
2023-08-15,0,48.0,,0.48,0.0
2023-08-16,28,48.0,,0.48,13.44
2023-08-17,100,48.0,,0.48,48.0
2023-08-18,0,48.0,,0.48,0.0
2023-08-19,0,48.0,,0.48,0.0
2023-08-20,0,60.0,False,0.6,0.0
2023-08-21,35,60.0,,0.6,21.0
2023-08-22,0,60.0,,0.6,0.0
2023-08-23,0,60.0,,0.6,0.0
2023-08-24,0,60.0,,0.6,0.0
2023-08-25,49,60.0,,0.6,29.4
2023-08-26,0,60.0,,0.6,0.0
2023-08-27,34,28.0,False,0.28,9.520000000000001
2023-08-28,0,28.0,,0.28,0.0
2023-08-29,0,28.0,,0.28,0.0
2023-08-30,0,28.0,,0.28,0.0
2023-08-31,34,28.0,,0.28,9.520000000000001
2023-09-01,0,28.0,,0.28,0.0
2023-09-02,0,28.0,,0.28,0.0
2023-09-03,0,31.0,False,0.31,0.0
2023-09-04,52,31.0,,0.31,16.12
2023-09-05,0,31.0,,0.31,0.0
2023-09-06,0,31.0,,0.31,0.0
2023-09-07,66,31.0,,0.31,20.46
2023-09-08,0,31.0,,0.31,0.0
2023-09-09,0,31.0,,0.31,0.0
2023-09-10,100,0.0,False,0.0,0.0
2023-09-11,86,0.0,,0.0,0.0
2023-09-12,0,0.0,,0.0,0.0
2023-09-13,0,0.0,,0.0,0.0
2023-09-14,88,0.0,,0.0,0.0
2023-09-15,0,0.0,,0.0,0.0
